Year,Ace Index,# Tropical Storms,# Hurricanes Cat. 1-5,# Major Huricanes Cat. 3-5
1950,243,13,11,8
1951,137,10,8,5
1952,87,7,6,3
1953,104,14,6,4
1954,113,11,8,2
1955,199,12,9,6
1956,54,8,4,2
1957,84,8,3,2
1958,121,10,7,5
1959,77,11,7,5
1960,88,7,4,2
1961,205,11,8,7
1962,36,5,3,1
1963,118,9,7,2
1964,170,12,6,6
1965,84,6,4,1
1966,145,11,7,3
1967,122,8,6,1
1968,35,7,4,0
1969,158,17,12,5
1970,34,10,5,2
1971,97,13,6,1
1972,28,4,3,0
1973,43,7,4,1
1974,61,7,4,2
1975,73,8,6,3
1976,81,8,6,2
1977,25,6,5,1
1978,62,11,5,2
1979,91,8,5,2
1980,147,11,9,2
1981,93,11,7,3
1982,29,5,2,1
1983,17,4,3,1
1984,71,12,5,1
1985,88,11,7,3
1986,36,6,4,0
1987,34,7,3,1
1988,103,12,5,3
1989,135,11,7,2
1990,91,14,8,1
1991,34,8,4,2
1992,75,6,4,1
1993,39,8,4,1
1994,32,7,3,0
1995,228,19,11,5
1996,166,13,9,6
1997,40,7,3,1
1998,182,14,10,3
1999,177,12,8,5
2000,116,14,8,3
2001,106,15,9,4
2002,65,12,4,2
2003,175,16,7,3
2004,225,14,9,6
2005,248,28,15,7
2006,79,10,5,2
2007,72,15,6,2
2008,145,16,8,5
2009,51,9,3,2
2010,62,19,12,5
2011,126,19,7,4
2012,133,19,10,2
2013,36,14,2,0
2014,67,8,6,2
2015,63,11,4,2
2016,112,14,6,2
